lng,lat,timestamp
-81.6994,-43.3464,1496147578
-77.1515,-45.3083,1496147640
-72.3205,-47.0412,1496147700
-67.1733,-48.5343,1496147761
-61.7288,-49.7599,1496147822
-55.9771,-50.6988,1496147883
-50.073,-51.3137,1496147943
-43.9973,-51.599,1496148004
-37.9406,-51.5408,1496148066
-31.8969,-51.1453,1496148126
-26.005,-50.4166,1496148187
-20.3386,-49.3747,1496148248
-14.9509,-48.0437,1496148310
-9.9154,-46.4509,1496148371
-5.161,-44.6406,1496148431
-0.7636,-42.6281,1496148492
3.3627,-40.4206,1496148553
7.1707,-38.0582,1496148614
10.7764,-35.5624,1496148675
14.1152,-32.9527,1496148737
17.2189,-30.2684,1496148797
20.1414,-27.5026,1496148858
22.9283,-24.6445,1496148919
25.5778,-21.7275,1496148980
28.1108,-18.7614,1496149041
30.5469,-15.7552,1496149102
32.9041,-12.7165,1496149164
35.1807,-9.6779,1496149224
37.4485,-6.5701,1496149286
39.6669,-3.475,1496149347
41.8513,-0.373,1496149408
44.0519,2.7296,1496149469
46.2838,5.8276,1496149530
48.5065,8.8895,1496149591
50.7903,11.9604,1496149652
53.113,14.9831,1496149713
55.5295,18.0008,1496149774
58.0389,20.9807,1496149835
60.6384,23.8905,1496149896
63.3683,26.7688,1496149957
66.2751,29.5575,1496150018
69.3611,32.2907,1496150079
72.6236,34.9091,1496150139
76.1431,37.4399,1496150200
79.9528,39.8615,1496150262
84.0161,42.113,1496150323
88.4225,44.2071,1496150385
93.1158,46.0832,1496150446
98.0933,47.7187,1496150507
103.4284,49.1119,1496150568
109.0054,50.2125,1496150628
114.8191,51.0085,1496150689
120.8508,51.483,1496150750
126.9669,51.6155,1496150811
133.0721,51.4024,1496150873
139.0236,50.8494,1496150934
144.8372,49.9793,1496150994
150.3971,48.7989,1496151055
155.6591,47.3401,1496151117
160.6002,45.631,1496151178
165.2147,43.7006,1496151239
169.5107,41.5763,1496151300
173.5058,39.2839,1496151361
177.2232,36.8467,1496151422
-179.3112,34.2855,1496151483
-176.1217,31.6405,1496151544
-173.0761,28.9069,1496151605
-170.2038,26.0747,1496151666
-167.4811,23.1781,1496151727
-164.8651,20.2033,1496151789
-162.3779,17.2082,1496151850
-159.979,14.1774,1496151911
-157.6508,11.1184,1496151972
-155.3951,8.0632,1496152033
-153.159,4.9677,1496152094
-150.9647,1.8631,1496152155
-148.7611,-1.2193,1496152216
-146.552,-4.3247,1496152277
-144.3412,-7.4217,1496152338
-142.0775,-10.4791,1496152399
-139.7826,-13.5163,1496152459
-137.4223,-16.5268,1496152520
-134.9593,-19.5278,1496152581
-132.3942,-22.4861,1496152642
-129.7074,-25.3927,1496152703
-126.9007,-28.2145,1496152764
-123.9302,-30.9641,1496152825
-120.7449,-33.6501,1496152886
-117.3425,-36.2342,1496152947
